Fundo,Modulo,Velocidad,Anio,Semana_de_cosecha,Semana_de_empaque,Fecha_de_cosecha,Etapa, Resultado, Humedad_relativa, Temperatura_minima, Temperatura_maxima, Radiacion_solar_maxima, Radiacion_solar
Arato,3,38,2021,32,32,10/08/2021,Terminado(PT=125),109,85.88,11.80,22.30,930,4891
Arato,3,38,2021,34,34,26/08/2021,Campo(C=8),16,89.08,14.20,20.30,788,3212
Arato,3,38,2021,34,34,26/08/2021,Recepcion(R=30),18,89.08,14.20,20.30,788,3212
Arato,3,38,2021,34,34,26/08/2021,Terminado(PT=125),128,89.08,14.20,20.30,788,3212
Arato,3,38,2022,35,35,03/09/2022,Campo(C=8),9,85.33,10.60,23.00,775,5317
Arato,3,38,2022,35,35,03/09/2022,Recepcion(R=30),26,85.33,10.60,23.00,775,5317
Arato,3,38,2022,35,35,03/09/2022,Terminado(PT=125),143,85.33,10.60,23.00,775,5317
Arato,3,39,2021,25,25,21/06/2021,Campo(C=8),31,89.54,16.00,20.60,281,1478
Arato,3,39,2021,25,25,21/06/2021,Recepcion(R=30),24,89.54,16.00,20.60,281,1478
Arato,3,39,2021,25,25,21/06/2021,Terminado(PT=125),120,89.54,16.00,20.60,281,1478
Arato,3,40,2021,24,24,18/06/2021,Campo(C=8),33,92.79,16.20,18.50,106,874
Arato,3,40,2021,24,24,18/06/2021,Recepcion(R=30),48,92.79,16.20,18.50,106,874
Arato,3,40,2021,24,24,18/06/2021,Terminado(PT=125),171,92.79,16.20,18.50,106,874
Arato,3,40,2021,24,24,19/06/2021,Campo(C=8),30,89.21,16.50,21.50,348,1412
Arato,3,40,2021,24,24,19/06/2021,Recepcion(R=30),32,89.21,16.50,21.50,348,1412
Arato,3,40,2021,24,24,19/06/2021,Terminado(PT=125),136,89.21,16.50,21.50,348,1412
Arato,3,40,2021,25,25,22/06/2021,Campo(C=8),21,87.25,15.70,23.20,698,3203
Arato,3,40,2021,25,25,22/06/2021,Recepcion(R=30),20,87.25,15.70,23.20,698,3203
Arato,3,40,2021,25,25,22/06/2021,Terminado(PT=125),154,87.25,15.70,23.20,698,3203
Arato,3,40,2021,25,25,23/06/2021,Campo(C=8),18,85.71,16.40,23.30,711,3856
Arato,3,40,2021,25,25,23/06/2021,Recepcion(R=30),15,85.71,16.40,23.30,711,3856
Arato,3,40,2021,25,25,23/06/2021,Terminado(PT=125),116,85.71,16.40,23.30,711,3856
Arato,3,40,2021,25,25,24/06/2021,Campo(C=8),27,88.92,16.40,19.00,140,961
Arato,3,40,2021,25,25,24/06/2021,Recepcion(R=30),19,88.92,16.40,19.00,140,961
Arato,3,40,2021,25,25,24/06/2021,Terminado(PT=125),115,88.92,16.40,19.00,140,961
Arato,3,43,2022,25,25,25/06/2022,Campo(C=8),11,84.04,12.80,23.50,657,4210
Arato,3,43,2022,25,25,25/06/2022,Recepcion(R=30),30,84.04,12.80,23.50,657,4210
Arato,3,43,2022,25,25,25/06/2022,Terminado(PT=125),188,84.04,12.80,23.50,657,4210
Arato,3,44,2022,34,34,26/08/2022,Recepcion(R=30),47,86.46,12.30,21.90,770,5020
Arato,3,44,2022,34,34,26/08/2022,Terminado(PT=125),133,86.46,12.30,21.90,770,5020
Arato,3,45,2022,25,25,22/06/2022,Campo(C=8),7,83.29,12.70,22.50,686,4605
Arato,3,45,2022,25,25,22/06/2022,Recepcion(R=30),20,83.29,12.70,22.50,686,4605
Arato,3,45,2022,25,25,22/06/2022,Terminado(PT=125),174,83.29,12.70,22.50,686,4605
Arato,3,46,2022,25,25,24/06/2022,Campo(C=8),7,87.67,11.70,21.30,687,3257
Arato,3,46,2022,25,25,24/06/2022,Recepcion(R=30),46,87.67,11.70,21.30,687,3257
Arato,3,46,2022,25,25,24/06/2022,Terminado(PT=125),159,87.67,11.70,21.30,687,3257
Arato,3,50,2022,25,25,23/06/2022,Campo(C=8),6,84.08,12.70,22.40,676,3571
